item_id,original_name,released,category,candidate,reason,original_description
ammo_cacnea_spike,Cacnea Spike,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Attack of any Pokémon it hits.
ammo_corsola_twig,Corsola Twig,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Sp.Atk of any Pokémon it hits.
ammo_geo_pebble,Geo Pebble,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target. It causes the target to flinch.
ammo_golden_thorn,Golden Thorn,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,"A brilliantly shining thorn crafted from solid gold. When hurled, it flies in a straight line to inflict damage on any Pokémon it hits, scattering coins everywhere."
ammo_gravelerock,Gravelerock,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area.
ammo_iron_thorn,Iron Thorn,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. Critical hits land more easily.
ammo_rare_fossil,Rare Fossil,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area. It deals Special damage.
ammo_silver_spike,Silver Spike,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,"A weapon to be hurled. It flies in a straight line to inflict damage to any Pokémon it hits, passing through walls."
ammo_stick,Stick,True,ammo,,Thrown ammunition has no matching Cyber Sleuth item.,A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. It causes the target to flinch.
apricorn_big,Big Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn with a pleasant scent. It can tossed at wild Pokémon as a gift for a high chance to recruit them into the team.
apricorn_black,Black Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Ghost- or Dark-type Pokémon as a gift for a high chance to recruit them into the team.
apricorn_blue,Blue Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Water- or Ice-type Pokémon as a gift for a high chance to recruit them into the team.
apricorn_brown,Brown Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,"An apricorn that can be tossed at Fighting-, Rock-, or Ground-type Pokémon as a gift for a high chance to recruit them into the team."
apricorn_glittery,Glittery Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at shiny Pokémon as a gift for a high chance to recruit them into the team.
apricorn_green,Green Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Grass- or Bug-type Pokémon as a gift for a high chance to recruit them into the team.
apricorn_perfect,Perfect Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,A beautiful apricorn with an indescribable scent. It can be tossed at wild Pokémon as a gift to recruit them into the team without any hesitation.
apricorn_plain,Plain Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,"An apricorn with a pleasant scent. It can tossed at wild Pokémon of any type, as a gift to recruit them into the team."
apricorn_purple,Purple Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Poison- or Psychic-type Pokémon as a gift for a high chance to recruit them into the team.
apricorn_red,Red Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Fire- or Dragon-type Pokémon as a gift for a high chance to recruit them into the team.
apricorn_white,White Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,"An apricorn that can be tossed at Normal-, Flying-, or Fairy-type Pokémon as a gift for a high chance to recruit them into the team."
apricorn_yellow,Yellow Apricorn,True,apricorn,,Recruitment item removed from loot and shops; acquisition uses scan restoration.,An apricorn that can be tossed at Electric- or Steel-type Pokémon as a gift for a high chance to recruit them into the team.
berry_apicot,Apicot Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A very mystifying Berry. There is no telling how it can be used, or what may happen if it is used. It maximizes Special Defense."
berry_aspear,Aspear Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_babiri,Babiri Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry is very tough with a strong flavor. It was used to make medicine in the past. It changes the Pokémon to the Steel-type.
berry_charti,Charti Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,It is often used for pickles because of its very dry flavor. It can also be eaten raw for its provocative taste. It changes the Pokémon to the Rock-type.
berry_cheri,Cheri Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_chesto,Chesto Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_chilan,Chilan Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry can be cored out and dried to make a whistle. Blowing through its hole makes an indescribable sound. It changes the Pokémon to the Normal-type.
berry_chople,Chople Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry contains a substance that generates heat. It can even heat up a chilly heart. It changes the Pokémon to the Fighting-type.
berry_coba,Coba Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry is said to be a new kind that is a cross of two berries brought together by winds from far away. It changes the Pokémon to the Flying-type.
berry_colbur,Colbur Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,Tiny hooks grow on the surface of this berry. It latches on to Pokémon so it can be carried to far-off places. It changes the Pokémon to the Dark-type.
berry_custap,Custap Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_enigma,Enigma Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A completely enigmatic Berry that appears to have the power of stars. It restores HP when hit by a super-effective move.
berry_ganlon,Ganlon Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A Berry surrounded by mystery, rumored to be imbued with the power of the land. It maximizes Defense."
berry_haban,Haban Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"If a large enough volume of this berry is boiled down, its bitterness fades away. It makes a good jam. It changes the Pokémon to the Dragon-type."
berry_hondew,Hondew Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_jaboca,Jaboca Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"The cluster of drupelets that make up this berry pop rhythmically if the berry is handled roughly. If a physical attack hits the Pokémon, the damage will be reflected to all enemies nearby."
berry_kasib,Kasib Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"Considered to have a special power from the olden days, this berry is sometimes dried and used as a good-luck charm. It changes the Pokémon to the Ghost-type."
berry_kebia,Kebia Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"This berry is a brilliant green on the outside. Inside, it is packed with a dry-flavored, black-colored flesh. It changes the Pokémon to the Poison-type."
berry_kee,Kee Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_kelpsy,Kelpsy Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_liechi,Liechi Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A mysterious Berry, rumored to contain the power of the sea. It maximizes Attack."
berry_maranga,Maranga Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_micle,Micle Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry has a very dry flavor. It has the effect of making other food eaten at the same time taste sweet. It maximizes Accuracy.
berry_occa,Occa Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry is said to have grown plentiful in the tropics of the past. It boasts an intensely hot spiciness. It changes the Pokémon to the Fire-type.
berry_passho,Passho Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry's flesh is dotted with tiny bubbles of air that keep it afloat in water. It changes the Pokémon to the Water-type.
berry_payapa,Payapa Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry is said to sense emotions for the way it swells roundly when anything approaches. It changes the Pokémon to the Psychic-type.
berry_pecha,Pecha Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_persim,Persim Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_petaya,Petaya Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A mysterious Berry rumored to contain the power of all living things. It maximizes Special Attack.
berry_qualot,Qualot Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_rawst,Rawst Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_rindo,Rindo Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"This berry has a disagreeable ""green"" flavor and scent typical of vegetables. It is rich in health-promoting fiber. It changes the Pokémon to the Grass-type."
berry_roseli,Roseli Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,The slight bitterness that cuts through the rich sweetness makes this Berry perfect for adding an accent.  It changes the Pokémon to the Fairy-type.
berry_rowap,Rowap Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"In days of old, people worked the top-shaped pieces of this berry free and used them as toys. If a special attack hits the Pokémon, the damage will be reflected to all enemies nearby."
berry_salac,Salac Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"A Berry surrounded by mystery, rumored to be imbued with the power of the sky. It maximizes Movement Speed."
berry_shuca,Shuca Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,The sweetness-laden pulp has just the hint of a hard-edged and fragrant bite to it. It changes the Pokémon to the Ground-type.
berry_sitrus,Sitrus Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A large berry with a well-rounded flavor. It gradually restores HP for a few turns.
berry_starf,Starf Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"So strong, it was abandoned at the world's edge. It is still considered a mirage to this very day. It sharply raises all stats."
berry_tamato,Tamato Berry,False,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,
berry_tanga,Tanga Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,The flower grows at the tip of this berry. It attracts Bug Pokémon by letting its stringy petals stream out. It changes the Pokémon to the Bug-type.
berry_wacan,Wacan Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,"Energy from lightning strikes is drawn into the plant, making the berries grow big and rich. It changes the Pokémon to the Electric-type."
berry_yache,Yache Berry,True,berry,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,This berry has a refreshing flavor that strikes a good balance of dryness and sourness. It tastes better chilled. It changes the Pokémon to the Ice-type.
boost_nectar,Nectar,True,boost,,No equivalent with the same effect in the supplied Cyber Sleuth item reference.,A drink that permanently raises the Pokémon's stats.
