"id","name","proposed_family","official_fields","assignment_kind","reason","source_url"
"aeroveedramon","AeroVeedramon","Dragon's Roar","Dragon's Roar | Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"agumon","Agumon","Dragon's Roar","Deep Savers | Dragon's Roar | Metal Empire | Nature Spirits | Nightmare Soldiers | Unknown | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Nightmare_Soldiers | https://wikimon.net/Category:Unknown | https://wikimon.net/Category:Virus_Busters"
"agunimon","Agunimon","Dragon's Roar","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"airdramon","Airdramon","Dragon's Roar","Dragon's Roar | Nature Spirits | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Dragon%27s_Roar | https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Wind_Guardians"
"alphamon_nx","Alphamon NX","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
"andromon","Andromon","Metal Empire","Metal Empire | Virus Busters","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Virus_Busters"
"angemon","Angemon","Virus Busters","Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"angewomon","Angewomon","Virus Busters","Nature Spirits | Virus Busters | Wind Guardians","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Nature_Spirits | https://wikimon.net/Category:Virus_Busters | https://wikimon.net/Category:Wind_Guardians"
"ankylomon","Ankylomon","Deep Savers","Deep Savers | Metal Empire | Nature Spirits","proposed_from_multiple_official_fields","Multiple official Field categories apply; the selected primary family is shown for this conversion.","https://wikimon.net/Category:Deep_Savers | https://wikimon.net/Category:Metal_Empire | https://wikimon.net/Category:Nature_Spirits"
"antylamon","Antylamon","Nature Spirits","","proposed_from_element_and_form_theme","No exact Wikimon category-name match for this Cyber Sleuth localization or one-off form; proposed from its source element and form theme.","https://wikimon.net/Field"
